publisher,metric,count
American Chemical Society,FsF-I3-01M,1
ACS Publications,FsF-F3-01M,16
ACS Publications,FsF-A1-03D,16
ACS Publications,FsF-R1.1-01M,16
ACS Publications,FsF-R1.3-02D,16
ACS Publications,FsF-I3-01M,2
Springer US,FsF-F3-01M,27
Springer US,FsF-A1-01M,11
Springer US,FsF-A1-03D,27
Springer US,FsF-R1.1-01M,21
Springer US,FsF-R1.3-02D,27
"Humana, New York, NY",FsF-F3-01M,7
"Humana, New York, NY",FsF-A1-01M,7
"Humana, New York, NY",FsF-A1-03D,7
"Humana, New York, NY",FsF-R1.1-01M,7
"Humana, New York, NY",FsF-R1.3-02D,7
Journal of Clinical Microbiology,FsF-F3-01M,1
Journal of Clinical Microbiology,FsF-A1-03D,1
Journal of Clinical Microbiology,FsF-R1.1-01M,1
Journal of Clinical Microbiology,FsF-R1.3-02D,1
Chemistry Europe,FsF-F3-01M,5
Chemistry Europe,FsF-A1-01M,5
Chemistry Europe,FsF-A1-03D,5
Chemistry Europe,FsF-I3-01M,4
Chemistry Europe,FsF-R1.1-01M,5
Chemistry Europe,FsF-R1.3-02D,5
EMBO,FsF-F3-01M,2
EMBO,FsF-F4-01M,2
EMBO,FsF-A1-01M,2
EMBO,FsF-A1-03D,2
EMBO,FsF-I3-01M,2
EMBO,FsF-R1-01MD,2
EMBO,FsF-R1.1-01M,2
EMBO,FsF-R1.3-02D,2
Birkhäuser Basel,FsF-F3-01M,9
Birkhäuser Basel,FsF-A1-01M,9
Birkhäuser Basel,FsF-A1-03D,9
Birkhäuser Basel,FsF-R1.1-01M,9
Birkhäuser Basel,FsF-R1.3-02D,9
Birkhäuser-Verlag,FsF-F3-01M,4
Birkhäuser-Verlag,FsF-A1-01M,4
Birkhäuser-Verlag,FsF-A1-03D,4
Birkhäuser-Verlag,FsF-R1.1-01M,4
Birkhäuser-Verlag,FsF-R1.3-02D,4
De Gruyter Open Access,FsF-F3-01M,2
De Gruyter Open Access,FsF-A1-03D,2
De Gruyter Open Access,FsF-I3-01M,2
De Gruyter Open Access,FsF-R1.1-01M,2
De Gruyter Open Access,FsF-R1.3-02D,2
De Gruyter,FsF-F3-01M,31
De Gruyter,FsF-A1-03D,31
De Gruyter,FsF-I3-01M,13
De Gruyter,FsF-R1.1-01M,31
De Gruyter,FsF-R1.3-02D,31
Magnolia Press,FsF-F3-01M,2
Magnolia Press,FsF-F4-01M,2
Magnolia Press,FsF-A1-01M,2
Magnolia Press,FsF-A1-03D,2
Magnolia Press,FsF-R1-01MD,2
Magnolia Press,FsF-R1.1-01M,2
Magnolia Press,FsF-R1.3-02D,2
S. Karger AG,FsF-F3-01M,20
S. Karger AG,FsF-A1-01M,20
S. Karger AG,FsF-A1-03D,20
